DATE|TITLE|DESCRIPTION|CHANGE|LEVEL
2021-03-26 19:53:00|Mexico's president invites big business to debate energy laws|Mexico's president on Friday invited the heads of some of the most prominent companies in the country to defend the merits of his predecessors' energy policies, which he says give the private sector preferential treatment over public sector interests.|0.00401877016193386|4.0
2021-03-25 16:54:00|U.S. transport chief not endorsing banning gas-vehicles after 2035|U.S. Transportation Secretary Pete Buttigieg said on Thursday he was unaware of any support by the Biden administration to ban gas-powered vehicles after 2035 as California aims to do.|-0.0030142808691338008|-4.0
2021-03-25 15:42:00|EEX bourse becomes platform for German fuel emissions trading|The European energy bourse EEX has been awarded the contract for the sale of emissions allowances under a new tax on greenhouse gas emissions levied on German suppliers of transport and heating fuels, it said on Thursday.|0.0017314061535860237|2.0
2021-03-25 14:33:00|Canada's top court upholds pillar of Trudeau's plan to fight climate change|Canada's Supreme Court ruled in favour of the federal government's carbon pricing policy on Thursday, upholding a central pillar of Prime Minister Justin's Trudeau's climate plan and infuriating some provinces that opposed it.|0.0001759942202741449|0.0
2021-03-24 19:08:00|Colombia's Celsia to invest $947 million in projects, including solar energy|Colombian power company Celsia will invest some 3.4 trillion pesos ($947 million) this year as it focuses on expanding its solar energy capacity, as well as in gas generation, among other projects, company directors said on Wednesday.|0.00014727930884794738|0.0
2021-03-24 14:28:00|India files appeal in $1.2 billion Cairn arbitration case - sources|India has appealed against an order by an international tribunal to pay $1.2 billion in damages, plus other costs, to Cairn Energy in a long-running tax dispute, two sources with direct knowledge of the matter told Reuters.|-0.007125427133259032|-5.0
2021-03-23 19:23:00|U.S. senators push solar lobby to detail firms' links to forced labor in China|Two U.S. senators have asked the leading solar energy lobbying group to clarify U.S. dependence on solar products linked to forced labor in China's Xinjiang, part of push in Congress to address what Western countries say are rights abuses by Beijing.|-0.0029867978020133856|-3.0
2021-03-16 16:03:00|Green groups file FTC complaint against Chevron over climate claims|Three environmental groups filed a false advertising complaint against Chevron with the Federal Trade Commission on Tuesday, alleging that the U.S. oil major has overstated its investment in renewable energy and actions to curb greenhouse gas emissions.|0.00463400822298099|4.0
2021-03-15 14:37:00|Goldman Sachs board nominates Royal Dutch Shell CFO for director role|Goldman Sachs Group Incâs board of directors on Monday nominated the chief financial officer of Royal Dutch Shell plc to become its newest member.|-0.0011758738807493563|-2.0
2021-03-11 19:10:00|EU countries pile pressure on Brussels to change green finance rules on bioenergy|The European Commission has come under fresh pressure to change its planned rules on what counts as a sustainable investment, with 10 EU countries saying the criteria for bioenergy are too restrictive.|0.0009786073254764993|1.0
2021-03-09 16:08:00|Biden administration to launch review of future of federal oil leasing program|The U.S. Interior Department announced Tuesday it will launch its review of the federal oil and gas leasing program on March 25, a key step that will determine whether the Biden administration will permanently halt new leases on federal land and water.|-0.0010282191201265167|-1.0
2021-03-09 16:03:00|Just Energy files for creditor protection in Canada after Texas freeze hit|Electricity and gas provider Just Energy Group Inc said it filed for creditor protection in Canada and plans to do the same in the United States, citing massive costs from the Texas deep freeze last month.|0.0028436455502502955|3.0
2021-03-09 15:11:00|Canada's Shopify buys contract to suck CO2 from air to cut emissions|E-commerce firm Shopify said on Tuesday it would become the first customer to buy contract carbon removal units from Canada-based direct air capture company Carbon Engineering to slash its greenhouse gas emissions and called on others to follow suit.|-0.0027068654441047|-3.0
2021-03-08 15:42:00|Industry lobbies EU lawmakers to change carbon border levy plan|Some of Europe's largest industry groups have asked European Union lawmakers to change their position on the bloc's planned carbon border policy, in a last-minute lobbying push ahead of a vote on Tuesday, emails seen by Reuters show.|0.004058535907844885|4.0
2021-03-05 19:17:00|Give shut-out U.S. coal, auto workers a chance in green energy - Manchin|U.S. coal and auto industry laborers who have lost jobs as the economy moves to green energy should be put to work in those technologies, and new legislation can spark that transition, Senator Joe Manchin said on Friday.|0.00279642058139995|3.0
2021-03-04 17:45:00|Germany agrees to pay operators 2.4 billion euros for nuclear exit - FAZ|The German government has agreed to pay nuclear operators 2.4 billion euros in compensation for an early nuclear shutdown after the Fukushima disaster, the Frankfurter Allgemeine Zeitung daily reported on Thursday, citing government sources.|-0.0031491216995012117|-4.0
2021-03-03 15:36:00|U.S. readies $40 billion in loans to boost clean energy - official|U.S. Energy Secretary Jennifer Granholm said on Wednesday she is ready to reactivate her department's loan program office that went mostly unused in the last four years and has more than $40 billion in funds to boost the transition to clean energy.|0.008966852336419029|5.0
2021-03-02 18:50:00|Aramco chairman says Saudi government still planning stake sell-down|The chairman of Saudi Aramco said on Tuesday the kingdom's government remains committed to selling down some of its stake in the state oil firm.|0.0005169485748819369|1.0
2021-03-01 19:26:00|Return of business travel, sustainable fuels expected in aviation's future|International business travel is not expected to remain permanently depressed, though it will likely recover from the coronavirus pandemic at a slower rate than leisure travel, United Airlines Chief Executive Scott Kirby said on Monday during CERAWeek by IHS Markit.|0.002587353757514288|3.0
2021-03-01 18:17:00|Energy industry starting to recover, balance likely by 2022 - Baker Hughes CEO|The energy industry is already starting to recover from one the worst years in recent history after the coronavirus pandemic roiled global markets, Baker Hughes Chief Executive Lorenzo Simonelli said on Monday during CERAWeek by IHS Markit.|-0.0013387878474969694|-2.0
2021-02-25 18:17:00|Senate approves Biden's pick Granholm to head Energy Department|The U.S. Senate approved President Joe Biden's nominee, former Michigan governor Jennifer Granholm, on Thursday to serve as secretary of the Department of Energy.|0.005083820805419137|5.0
2021-02-03 20:18:00|Biden administration to restart permitting for major U.S. offshore wind project|The Biden administration said on Wednesday it would restart permitting for the first major U.S. offshore wind farm, reversing a Trump administration decision that canceled the process late last year.|-0.0018727128468483123|-2.0
